Call number,Customer ID,Duration,Representative,Date of Call,Amount,Rating
Call_7271,C0003,116.0,,2023-01-01,128.0,4.9
Call_7272,C0004,,,2023-01-01,135.0,2.9
Call_7273,C0005,68.0,,2023-01-01,96.76328986960883,4.7
Call_7274,C0014,119.0,,2023-01-01,22.0,2.9
Call_7275,C0011,128.0,,2023-01-02,31.0,
Call_7276,C0011,49.0,,2023-01-03,135.0,4.8
Call_7277,C0007,,,2023-01-03,96.76328986960883,4.7
Call_7278,C0003,103.0,,2023-01-03,148.0,4.4
Call_7279,C0005,31.0,,2023-01-03,135.0,3.6
Call_7280,C0010,44.0,,2023-01-03,105.0,
Call_7281,C0011,,,2023-01-03,69.0,4.9
Call_7282,C0013,135.0,,2023-01-03,46.0,3.4
Call_7283,C0002,98.0,,2023-01-04,108.0,3.5
Call_7284,C0010,139.0,,2023-01-04,96.0,4.0
Call_7285,C0013,48.0,,2023-01-04,68.0,4.9
Call_7286,C0010,176.0,,2023-01-05,96.76328986960883,4.8
Call_7287,C0010,99.0,,2023-01-05,195.0,3.9
Call_7288,C0009,28.0,,2023-01-05,28.0,3.8
Call_7289,C0007,54.0,,2023-01-05,170.0,4.3
Call_7290,C0006,48.0,,2023-01-06,30.0,4.4
Call_7291,C0004,128.0,,2023-01-06,72.0,
Call_7292,C0004,38.0,,2023-01-07,92.0,4.9
Call_7293,C0003,67.0,,2023-01-08,165.0,4.5
Call_7294,C0015,58.0,,2023-01-08,140.0,2.1
Call_7295,C0010,54.0,,2023-01-08,111.0,3.3
Call_7296,C0012,28.0,,2023-01-09,63.0,4.1
Call_7297,C0002,73.0,,2023-01-09,80.0,4.2
Call_7298,C0011,81.0,,2023-01-10,50.0,4.6
Call_7299,C0009,31.0,,2023-01-10,123.0,2.9
Call_7300,C0015,155.0,,2023-01-10,110.0,4.8
Call_7301,C0009,80.0,,2023-01-10,140.0,
Call_7302,C0011,82.0,,2023-01-12,42.0,3.7
Call_7303,C0011,29.0,,2023-01-12,170.0,5.0
Call_7304,C0006,160.0,,2023-01-14,105.0,5.0
Call_7305,C0001,105.0,,2023-01-15,125.0,4.8
Call_7306,C0009,75.0,,2023-01-15,26.0,2.4
Call_7307,C0015,94.0,,2023-01-16,120.0,3.1
Call_7308,C0004,90.0,,2023-01-16,132.0,3.2
Call_7309,C0015,81.0,,2023-01-17,86.0,2.4
Call_7310,C0009,106.0,,2023-01-17,108.0,5.0
Call_7311,C0004,74.0,,2023-01-17,96.0,4.7
Call_7312,C0010,105.0,,2023-01-18,80.0,4.7
Call_7313,C0009,89.0,,2023-01-18,155.0,4.1
Call_7314,C0013,132.0,,2023-01-18,168.0,4.1
Call_7315,C0001,105.0,,2023-01-18,56.0,3.6
Call_7316,C0011,13.0,,2023-01-19,32.0,4.4
Call_7317,C0014,131.0,,2023-01-19,78.0,4.4
Call_7318,C0004,104.0,,2023-01-19,86.0,4.0
Call_7319,C0003,90.0,,2023-01-20,64.0,3.8
Call_7320,C0012,37.0,,2023-01-20,96.0,3.6
Call_7321,C0002,149.0,,2023-01-20,72.0,4.3
Call_7322,C0013,100.0,,2023-01-21,135.0,3.8
Call_7323,C0013,79.0,,2023-01-21,140.0,4.5
Call_7324,C0008,157.0,,2023-01-21,69.0,4.5
Call_7325,C0013,59.0,,2023-01-22,136.0,4.6
Call_7326,C0012,83.0,,2023-01-22,28.0,4.5
Call_7327,C0008,58.0,,2023-01-23,135.0,3.3
Call_7328,C0015,118.0,,2023-01-23,126.0,2.3
Call_7329,C0011,63.0,,2023-01-23,160.0,4.3
Call_7330,C0008,95.0,,2023-01-24,48.0,4.6
Call_7331,C0013,74.0,,2023-01-24,66.0,4.0
Call_7332,C0010,130.0,,2023-01-24,126.0,2.5
Call_7333,C0015,110.0,,2023-01-24,96.0,5.0
Call_7334,C0013,71.0,,2023-01-25,90.0,3.8
Call_7335,C0001,147.0,,2023-01-25,105.0,4.4
Call_7336,C0004,69.0,,2023-01-26,40.0,3.8
Call_7337,C0015,50.0,,2023-01-26,60.0,2.0
Call_7338,C0010,124.0,,2023-01-27,215.0,4.1
Call_7339,C0005,81.0,,2023-01-27,156.0,2.6
Call_7340,C0006,141.0,,2023-01-27,54.0,0.0
Call_7341,C0006,168.0,,2023-01-28,160.0,3.9
Call_7342,C0001,101.0,,2023-01-28,80.0,4.8
Call_7343,C0013,67.0,,2023-01-28,168.0,2.6
Call_7344,C0008,114.0,,2023-01-30,42.0,2.6
Call_7345,C0005,42.0,,2023-01-30,205.0,3.6
Call_7346,C0011,69.0,,2023-01-30,108.0,3.3
Call_7347,C0010,145.0,,2023-01-30,78.0,1.9
Call_7348,C0004,43.0,,2023-01-30,23.0,4.9
Call_7349,C0011,62.0,,2023-01-31,99.0,3.6
Call_7350,C0009,79.0,,2023-02-01,148.0,4.5
Call_7351,C0010,45.0,,2023-02-01,34.0,3.7
Call_7352,C0011,137.0,,2023-02-01,86.0,4.8
Call_7353,C0008,109.0,,2023-02-01,105.0,3.3
Call_7354,C0004,78.0,,2023-02-01,62.0,3.1
Call_7355,C0011,137.0,,2023-02-01,90.0,4.1
Call_7356,C0014,99.0,,2023-02-02,112.0,4.9
Call_7357,C0015,100.0,,2023-02-02,135.0,4.0
Call_7358,C0004,47.0,,2023-02-02,34.0,2.1
Call_7359,C0008,87.0,,2023-02-02,155.0,4.5
Call_7360,C0014,143.0,,2023-02-04,124.0,4.9
Call_7361,C0015,84.0,,2023-02-04,195.0,4.1
Call_7362,C0001,55.0,,2023-02-05,78.0,4.5
Call_7363,C0007,135.0,,2023-02-07,35.0,4.8
Call_7364,C0012,152.0,,2023-02-07,123.0,4.6
Call_7365,C0005,132.0,,2023-02-07,43.0,4.6
Call_7366,C0006,60.0,,2023-02-08,69.0,4.3
Call_7367,C0012,95.0,,2023-02-08,130.0,5.0
Call_7368,C0003,96.0,,2023-02-08,120.0,4.0
Call_7369,C0001,45.0,,2023-02-09,84.0,4.6
Call_7370,C0003,132.0,,2023-02-10,112.0,4.5
Call_7371,C0013,95.0,,2023-02-10,66.0,4.6
Call_7372,C0012,131.0,,2023-02-10,172.0,2.6
Call_7373,C0009,67.0,,2023-02-11,24.0,4.3
Call_7374,C0014,111.0,,2023-02-12,43.0,3.9
Call_7375,C0005,78.0,,2023-02-12,23.0,5.0
Call_7376,C0002,28.0,,2023-02-12,74.0,3.5
Call_7377,C0004,127.0,,2023-02-13,165.0,4.7
Call_7378,C0015,137.0,,2023-02-13,34.0,2.9
Call_7379,C0004,76.0,,2023-02-13,64.0,3.4
Call_7380,C0005,80.0,,2023-02-14,155.0,3.2
Call_7381,C0004,95.0,,2023-02-15,120.0,4.8
Call_7382,C0006,30.0,,2023-02-15,105.0,3.6
Call_7383,C0011,19.0,,2023-02-15,28.0,4.9
Call_7384,C0010,38.0,,2023-02-15,100.0,4.8
Call_7385,C0013,55.0,,2023-02-15,23.0,3.6
Call_7386,C0009,27.0,,2023-02-16,70.0,3.9
Call_7387,C0009,32.0,,2023-02-16,37.0,1.9
Call_7388,C0002,116.0,,2023-02-16,140.0,3.6
Call_7389,C0003,99.0,,2023-02-16,78.0,4.1
Call_7390,C0004,75.0,,2023-02-17,21.0,4.2
Call_7391,C0005,57.0,,2023-02-17,88.0,4.3
Call_7392,C0007,155.0,,2023-02-18,180.0,2.2
Call_7393,C0003,68.0,,2023-02-18,22.0,3.3
Call_7394,C0010,95.0,,2023-02-18,52.0,4.8
Call_7395,C0015,65.0,,2023-02-19,80.0,4.0
Call_7396,C0011,114.0,,2023-02-19,54.0,1.1
Call_7397,C0004,155.0,,2023-02-20,80.0,3.9
Call_7398,C0015,114.0,,2023-02-21,120.0,1.8
Call_7399,C0007,130.0,,2023-02-21,150.0,1.0
Call_7400,C0004,89.0,,2023-02-21,90.0,4.3
Call_7401,C0001,61.0,,2023-02-22,140.0,3.4
Call_7402,C0010,154.0,,2023-02-22,22.0,3.4
Call_7403,C0015,115.0,,2023-02-23,150.0,4.1
Call_7404,C0008,138.0,,2023-02-24,35.0,4.8
Call_7405,C0014,153.0,,2023-02-24,200.0,2.0
Call_7406,C0015,61.0,,2023-02-25,150.0,4.6
Call_7407,C0009,62.0,,2023-02-25,21.0,2.6
Call_7408,C0001,151.0,,2023-02-26,46.0,4.9
Call_7409,C0012,102.0,,2023-02-26,165.0,2.7
Call_7410,C0006,64.0,,2023-02-26,84.0,4.1
Call_7411,C0004,6.0,,2023-02-27,102.0,4.4
Call_7412,C0006,129.0,,2023-02-27,180.0,4.8
Call_7413,C0009,42.0,,2023-02-28,111.0,3.0
Call_7414,C0009,71.0,,2023-02-28,104.0,3.1
Call_7415,C0005,53.0,,2023-02-28,80.0,2.6
Call_7416,C0011,155.0,,2023-03-01,132.0,4.6
Call_7417,C0011,90.0,,2023-03-01,170.0,3.7
Call_7418,C0006,166.0,,2023-03-01,36.0,3.8
Call_7419,C0002,89.0,,2023-03-01,126.0,3.6
Call_7420,C0015,152.0,,2023-03-01,215.0,4.4
Call_7421,C0002,137.0,,2023-03-01,114.0,3.2
Call_7422,C0002,43.0,,2023-03-01,99.0,4.7
Call_7423,C0010,114.0,,2023-03-02,23.0,4.8
Call_7424,C0014,103.0,,2023-03-02,75.0,2.7
Call_7425,C0002,98.0,,2023-03-02,100.0,3.8
Call_7426,C0006,106.0,,2023-03-02,108.0,4.3
Call_7427,C0004,96.0,,2023-03-02,108.0,5.0
Call_7428,C0014,70.0,,2023-03-02,28.0,4.8
Call_7429,C0009,86.0,,2023-03-03,70.0,4.9
Call_7430,C0005,64.0,,2023-03-03,172.0,4.1
Call_7431,C0004,113.0,,2023-03-03,123.0,4.4
Call_7432,C0004,21.0,,2023-03-03,93.0,3.4
Call_7433,C0012,107.0,,2023-03-03,66.0,4.0
Call_7434,C0012,131.0,,2023-03-03,39.0,2.4
Call_7435,C0003,11.0,,2023-03-03,25.0,2.1
Call_7436,C0001,86.0,,2023-03-03,68.0,3.0
Call_7437,C0005,28.0,,2023-03-03,84.0,3.2
Call_7438,C0011,139.0,,2023-03-04,88.0,3.4
Call_7439,C0006,82.0,,2023-03-04,93.0,2.7
Call_7440,C0004,101.0,,2023-03-04,128.0,5.0
Call_7441,C0005,75.0,,2023-03-04,40.0,3.4
Call_7442,C0010,40.0,,2023-03-05,92.0,4.7
Call_7443,C0002,86.0,,2023-03-05,27.0,4.5
Call_7444,C0007,131.0,,2023-03-05,140.0,4.1
Call_7445,C0012,67.0,,2023-03-05,40.0,5.0
Call_7446,C0008,71.0,,2023-03-05,102.0,4.7
Call_7447,C0007,113.0,,2023-03-05,42.0,4.2
Call_7448,C0006,53.0,,2023-03-06,210.0,3.9
Call_7449,C0007,153.0,,2023-03-06,34.0,3.0
Call_7450,C0012,73.0,,2023-03-06,215.0,3.6
Call_7451,C0009,62.0,,2023-03-06,32.0,0.7
Call_7452,C0011,115.0,,2023-03-07,48.0,4.7
Call_7453,C0007,69.0,,2023-03-07,132.0,4.5
Call_7454,C0002,103.0,,2023-03-07,172.0,4.3
Call_7455,C0002,75.0,,2023-03-07,111.0,3.4
Call_7456,C0013,92.0,,2023-03-07,58.0,3.6
Call_7457,C0013,41.0,,2023-03-07,68.0,4.0
Call_7458,C0002,134.0,,2023-03-07,160.0,4.5
Call_7459,C0001,80.0,,2023-03-07,45.0,3.0
Call_7460,C0008,103.0,,2023-03-08,117.0,3.0
Call_7461,C0006,20.0,,2023-03-09,22.0,1.6
Call_7462,C0008,75.0,,2023-03-09,195.0,3.0
Call_7463,C0013,80.0,,2023-03-09,168.0,3.7
Call_7464,C0007,85.0,,2023-03-10,46.0,4.9
Call_7465,C0004,155.0,,2023-03-10,164.0,3.4
Call_7466,C0007,63.0,,2023-03-10,48.0,5.0
Call_7467,C0005,105.0,,2023-03-10,96.0,5.0
Call_7468,C0007,71.0,,2023-03-10,105.0,4.0
Call_7469,C0004,100.0,,2023-03-11,44.0,3.6
Call_7470,C0003,93.0,,2023-03-11,132.0,3.7
Call_7471,C0005,84.0,,2023-03-11,54.0,4.2
Call_7472,C0001,56.0,,2023-03-11,129.0,2.1
Call_7473,C0001,63.0,,2023-03-11,42.0,4.0
Call_7474,C0009,83.0,,2023-03-11,42.0,4.2
Call_7475,C0013,134.0,,2023-03-11,180.0,3.1
Call_7476,C0011,73.0,,2023-03-12,34.0,4.8
Call_7477,C0008,6.0,,2023-03-12,29.0,4.7
Call_7478,C0012,46.0,,2023-03-12,165.0,3.3
Call_7479,C0008,121.0,,2023-03-13,32.0,3.7
Call_7480,C0001,61.0,,2023-03-13,160.0,4.9
Call_7481,C0013,144.0,,2023-03-13,140.0,3.5
Call_7482,C0012,145.0,,2023-03-13,136.0,4.4
Call_7483,C0005,85.0,,2023-03-13,66.0,2.8
Call_7484,C0012,13.0,,2023-03-14,63.0,4.1
Call_7485,C0003,142.0,,2023-03-14,44.0,3.5
Call_7486,C0013,28.0,,2023-03-14,78.0,3.8
Call_7487,C0013,119.0,,2023-03-14,20.0,3.9
Call_7488,C0008,65.0,,2023-03-14,84.0,2.5
Call_7489,C0002,68.0,,2023-03-14,32.0,4.9
Call_7490,C0009,72.0,,2023-03-14,132.0,3.4
Call_7491,C0009,63.0,,2023-03-14,105.0,3.3
Call_7492,C0004,139.0,,2023-03-15,48.0,4.7
Call_7493,C0013,59.0,,2023-03-15,64.0,4.0
Call_7494,C0006,138.0,,2023-03-15,44.0,3.8
Call_7495,C0004,47.0,,2023-03-15,120.0,3.1
Call_7496,C0006,74.0,,2023-03-15,144.0,4.8
Call_7497,C0009,65.0,,2023-03-15,87.0,2.7
Call_7498,C0011,123.0,,2023-03-15,36.0,3.6
Call_7499,C0009,90.0,,2023-03-16,72.0,4.7
Call_7500,C0001,127.0,,2023-03-16,150.0,4.4
Call_7501,C0014,60.0,,2023-03-16,68.0,4.3
Call_7502,C0004,94.0,,2023-03-16,99.0,4.9
Call_7503,C0011,54.0,,2023-03-16,26.0,4.8
Call_7504,C0009,104.0,,2023-03-16,88.0,3.2
Call_7505,C0007,100.0,,2023-03-16,124.0,3.4
Call_7506,C0006,84.0,,2023-03-16,72.0,3.5
Call_7507,C0003,92.0,,2023-03-17,125.0,4.9
Call_7508,C0010,64.0,,2023-03-17,22.0,4.1
Call_7509,C0005,89.0,,2023-03-18,70.0,4.9
Call_7510,C0015,40.0,,2023-03-18,24.0,4.3
Call_7511,C0013,75.0,,2023-03-18,32.0,4.1
Call_7512,C0001,106.0,,2023-03-18,112.0,4.4
Call_7513,C0010,58.0,,2023-03-19,43.0,4.5
Call_7514,C0006,84.0,,2023-03-19,22.0,3.5
Call_7515,C0009,140.0,,2023-03-19,93.0,4.4
Call_7516,C0010,67.0,,2023-03-19,45.0,3.5
Call_7517,C0004,126.0,,2023-03-20,96.0,3.8
Call_7518,C0004,89.0,,2023-03-20,96.0,3.3
Call_7519,C0005,56.0,,2023-03-20,31.0,4.4
Call_7520,C0011,48.0,,2023-03-20,200.0,3.9
Call_7521,C0004,55.0,,2023-03-20,99.0,2.7
Call_7522,C0014,88.0,,2023-03-20,144.0,2.9
Call_7523,C0005,102.0,,2023-03-21,81.0,4.0
Call_7524,C0014,155.0,,2023-03-21,70.0,4.4
Call_7525,C0004,63.0,,2023-03-21,148.0,5.0
Call_7526,C0007,59.0,,2023-03-21,215.0,4.1
Call_7527,C0007,144.0,,2023-03-21,124.0,4.4
Call_7528,C0006,113.0,,2023-03-21,168.0,4.1
Call_7529,C0012,154.0,,2023-03-21,90.0,4.5
Call_7530,C0012,58.0,,2023-03-22,176.0,4.2
Call_7531,C0011,63.0,,2023-03-22,87.0,4.6
Call_7532,C0009,59.0,,2023-03-22,128.0,4.5
Call_7533,C0008,129.0,,2023-03-22,120.0,4.1
Call_7534,C0002,101.0,,2023-03-22,130.0,4.8
Call_7535,C0015,154.0,,2023-03-22,172.0,3.1
Call_7536,C0010,131.0,,2023-03-22,58.0,4.9
Call_7537,C0007,111.0,,2023-03-23,86.0,4.1
Call_7538,C0012,142.0,,2023-03-24,31.0,4.4
Call_7539,C0005,93.0,,2023-03-24,72.0,4.4
Call_7540,C0012,125.0,,2023-03-25,27.0,3.0
Call_7541,C0008,76.0,,2023-03-25,110.0,4.4
Call_7542,C0006,69.0,,2023-03-25,126.0,3.7
Call_7543,C0009,149.0,,2023-03-25,60.0,3.9
Call_7544,C0012,57.0,,2023-03-25,35.0,3.5
Call_7545,C0004,113.0,,2023-03-25,81.0,3.5
Call_7546,C0003,160.0,,2023-03-25,116.0,3.4
Call_7547,C0011,158.0,,2023-03-25,60.0,4.5
Call_7548,C0006,77.0,,2023-03-26,130.0,4.2
Call_7549,C0013,118.0,,2023-03-26,99.0,5.0
Call_7550,C0015,75.0,,2023-03-26,135.0,4.7
Call_7551,C0004,103.0,,2023-03-26,42.0,2.8
Call_7552,C0006,116.0,,2023-03-27,63.0,3.4
Call_7553,C0007,61.0,,2023-03-27,140.0,1.8
Call_7554,C0012,126.0,,2023-03-27,128.0,4.2
Call_7555,C0002,141.0,,2023-03-27,80.0,4.4
Call_7556,C0011,95.0,,2023-03-27,28.0,2.7
Call_7557,C0015,39.0,,2023-03-28,81.0,5.0
Call_7558,C0004,127.0,,2023-03-28,99.0,3.9
Call_7559,C0007,78.0,,2023-03-28,43.0,3.8
Call_7560,C0013,40.0,,2023-03-28,34.0,4.6
Call_7561,C0007,56.0,,2023-03-28,225.0,4.6
Call_7562,C0015,59.0,,2023-03-28,210.0,4.5
Call_7563,C0012,30.0,,2023-03-28,168.0,4.2
Call_7564,C0013,63.0,,2023-03-29,82.0,4.5
Call_7565,C0005,56.0,,2023-03-29,88.0,4.1
Call_7566,C0008,95.0,,2023-03-29,111.0,3.3
Call_7567,C0001,128.0,,2023-03-29,60.0,3.8
Call_7568,C0011,49.0,,2023-03-29,80.0,3.0
Call_7569,C0001,89.0,,2023-03-31,90.0,4.6
Call_7570,C0009,87.0,,2023-03-31,225.0,2.9
Call_7571,C0003,60.0,,2023-04-01,215.0,3.2
Call_7572,C0014,42.0,,2023-04-01,45.0,1.5
Call_7573,C0010,99.0,,2023-04-01,74.0,4.0
Call_7574,C0005,20.0,,2023-04-01,60.0,3.6
Call_7575,C0013,65.0,,2023-04-01,64.0,3.7
Call_7576,C0012,71.0,,2023-04-02,110.0,4.8
Call_7577,C0004,95.0,,2023-04-02,52.0,1.2
Call_7578,C0005,81.0,,2023-04-03,160.0,4.7
Call_7579,C0006,137.0,,2023-04-03,215.0,4.7
Call_7580,C0006,40.0,,2023-04-03,220.0,4.5
Call_7581,C0010,111.0,,2023-04-04,175.0,3.5
Call_7582,C0012,106.0,,2023-04-04,145.0,4.1
Call_7583,C0014,133.0,,2023-04-04,72.0,4.4
Call_7584,C0007,38.0,,2023-04-05,81.0,3.6
Call_7585,C0015,130.0,,2023-04-05,54.0,4.1
Call_7586,C0013,23.0,,2023-04-05,105.0,4.8
Call_7587,C0015,124.0,,2023-04-06,176.0,3.9
Call_7588,C0005,107.0,,2023-04-06,115.0,3.8
Call_7589,C0006,60.0,,2023-04-06,116.0,3.9
Call_7590,C0006,158.0,,2023-04-06,100.0,4.1
Call_7591,C0009,110.0,,2023-04-07,36.0,2.2
Call_7592,C0001,70.0,,2023-04-07,114.0,5.0
Call_7593,C0001,150.0,,2023-04-07,24.0,3.8
Call_7594,C0007,36.0,,2023-04-07,135.0,4.6
Call_7595,C0015,74.0,,2023-04-07,30.0,4.0
Call_7596,C0004,75.0,,2023-04-07,84.0,2.8
Call_7597,C0008,70.0,,2023-04-07,42.0,4.4
Call_7598,C0009,23.0,,2023-04-07,117.0,2.4
Call_7599,C0010,104.0,,2023-04-07,164.0,4.0
Call_7600,C0001,95.0,,2023-04-08,123.0,4.4
Call_7601,C0011,49.0,,2023-04-08,172.0,2.9
Call_7602,C0012,8.0,,2023-04-08,20.0,4.8
